Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
205	144.23077	636.2246	 	 	 	 	 	 	 	173.29922	4.565637	 	259.6179	680.65283	 	 	 	 	 	 	 
206	143.91022	634.4087	 	 	 	 	 	 	 	173.45885	4.3106995	 	259.17233	680.53406	 	 	 	 	 	 	 
207	143.5989	633.0604	 	 	 	 	 	 	 	173.72667	3.9755557	 	259.023	680.5879	 	 	 	 	 	 	 
208	143.2243	631.90967	 	 	 	 	 	 	 	173.88164	3.5821257	 	258.69666	680.57947	 	 	 	 	 	 	 
209	142.93553	631.2437	 	 	 	 	 	 	 	 	 	 	254.8506	680.5996	 	 	 	 	 	 	 
210	142.52197	630.90814	 	 	 	 	 	 	 	 	 	 	256.37347	680.62244	 	 	 	 	 	 	 
211	142.16667	630.8458	 	 	 	 	 	 	 	 	 	 	256.59283	680.6561	 	 	 	 	 	 	 
212	141.70348	631.0284	 	 	 	 	 	 	 	 	 	 	260.0625	680.69196	 	 	 	 	 	 	 
213	141.33307	631.7621	 	 	 	 	 	 	 	 	 	 	260.778	680.63904	 	 	 	 	 	 	 
214	140.95853	632.68933	 	 	 	 	 	 	 	 	 	 	260.08823	680.6584	 	 	 	 	 	 	 
215	140.69534	633.83954	 	 	 	 	 	 	 	 	 	 	258.67618	680.81903	 	 	 	 	 	 	 
216	140.21982	635.40094	 	 	 	 	 	 	 	 	 	 	267.0025	680.5647	 	 	 	 	 	 	 
217	139.84866	640.2433	 	 	 	 	 	 	 	 	 	 	263.84314	680.60785	 	 	 	 	 	 	 
218	139.41464	641.95605	 	 	 	 	 	 	 	 	 	 	264.5613	680.5755	 	 	 	 	 	 	 
219	139.12372	641.97296	 	 	 	 	 	 	 	 	 	 	262.61606	680.3393	 	 	 	 	 	 	 
220	138.70177	641.54034	 	 	 	 	 	 	 	 	 	 	262.61713	680.54504	 	 	 	 	 	 	 
221	138.32382	641.20593	 	 	 	 	 	 	 	 	 	 	259.80392	680.87256	 	 	 	 	 	 	 
222	138.01564	641.06195	 	 	 	 	 	 	 	 	 	 	257.09277	680.8213	 	 	 	 	 	 	 
223	137.61403	640.9298	 	 	 	 	 	 	 	 	 	 	260.79825	680.6272	 	 	 	 	 	 	 
224	137.34065	641.29175	 	 	 	 	 	 	 	 	 	 	258.63538	680.70526	 	 	 	 	 	 	 
